代號,名稱,日期,到期月,開盤價,最高價,最低價,收盤價,每日結算價,報酬率,成交張數(量),未平倉合約數,期貨理論價,理論價差比,基差,標的證券價格,剩餘天數,年股利率-估,無風險利率,最後交易日,最後揭示買價,最後揭示賣價,標的證券ROI%,標的證券,成交量(合計),未沖銷契約數(合計)
TX202001,台指 2020/01,2019/12/18,2020/01,12063,12098,12052,12094,12096,0.0414,"47,453","80,520",,,26.45,12122.45,29,0,1.045,2020/01/15,12094,12096,0.2101,Y9999   加權指數,"102,944","117,044"
TX202001,台指 2020/01,2019/12/19,2020/01,12110,12115,12015,12030,12031,-0.5374,"92,209","85,170",,,-12.1,12018.9,28,0,1.045,2020/01/15,12030,12032,-0.8579,Y9999   加權指數,"93,505","90,138"
TX202001,台指 2020/01,2019/12/20,2020/01,12063,12063,11951,11979,11979,-0.4322,"126,757","84,059",,,-19.92,11959.08,27,0,1.045,2020/01/15,11977,11979,-0.499,Y9999   加權指數,"128,666","89,496"
TX202001,台指 2020/01,2019/12/23,2020/01,12000,12028,11972,12020,12020,0.3423,"75,298","84,007",,,2.23,12022.23,24,0,1.045,2020/01/15,12019,12021,0.5267,Y9999   加權指數,"76,307","89,566"
TX202001,台指 2020/01,2019/12/24,2020/01,12030,12044,11982,11983,11983,-0.3078,"55,384","83,808",,,-6.62,11976.38,23,0,1.045,2020/01/15,11982,11984,-0.3821,Y9999   加權指數,"56,091","89,462"
TX202001,台指 2020/01,2019/12/25,2020/01,11989,12027,11976,12020,12019,0.3004,"41,599","84,522",,,-10.87,12008.13,22,0,1.045,2020/01/15,12019,12021,0.2648,Y9999   加權指數,"42,200","89,755"
TX202001,台指 2020/01,2019/12/26,2020/01,12029,12042,11986,12009,12007,-0.0998,"52,249","85,853",,,-5.99,12001.01,21,0,1.045,2020/01/15,12008,12009,-0.0593,Y9999   加權指數,"53,065","91,299"
TX202001,台指 2020/01,2019/12/27,2020/01,12038,12112,12037,12097,12097,0.7496,"74,454","88,703",,,-5.41,12091.59,20,0,1.045,2020/01/15,12097,12098,0.7519,Y9999   加權指數,"75,947","94,452"
TX202001,台指 2020/01,2019/12/30,2020/01,12091,12125,12065,12069,12069,-0.2315,"66,062","88,167",,,-15.63,12053.37,17,0,1.045,2020/01/15,12069,12070,-0.3166,Y9999   加權指數,"67,330","94,174"
TX202001,台指 2020/01,2019/12/31,2020/01,12029,12049,11992,11995,11994,-0.6214,"74,341","89,098",,,3.14,11997.14,16,0,1.045,2020/01/15,11995,11996,-0.4676,Y9999   加權指數,"75,468","95,440"
TX202001,台指 2020/01,2020/01/02,2020/01,12044,12120,12023,12102,12101,0.8921,"100,401","87,608",,,-0.52,12100.48,14,0,1.045,2020/01/15,12101,12102,0.8577,Y9999   加權指數,"102,507","94,426"
TX202001,台指 2020/01,2020/01/03,2020/01,12180,12198,11996,12086,12087,-0.1157,"172,660","85,123",,,23.43,12110.43,13,0,1.045,2020/01/15,12086,12088,0.0822,Y9999   加權指數,"176,842","92,675"
TX202001,台指 2020/01,2020/01/06,2020/01,12017,12034,11948,11950,11949,-1.1417,"118,380","86,049",,,4.36,11953.36,10,0,1.045,2020/01/15,11950,11951,-1.3055,Y9999   加權指數,"120,896","94,189"
TX202001,台指 2020/01,2020/01/07,2020/01,11995,12009,11816,11871,11871,-0.6528,"157,264","82,993",,,9.32,11880.32,9,0,1.045,2020/01/15,11871,11872,-0.6129,Y9999   加權指數,"161,961","92,192"
TX202001,台指 2020/01,2020/01/08,2020/01,11728,11892,11697,11788,11788,-0.6992,"158,971","81,175",,,29.1,11817.1,8,0,1.045,2020/01/15,11787,11788,-0.5336,Y9999   加權指數,"164,562","92,445"
TX202001,台指 2020/01,2020/01/09,2020/01,11919,11998,11883,11968,11969,1.5355,"115,014","80,949",,,1.63,11970.63,7,0,1.045,2020/01/15,11968,11970,1.2909,Y9999   加權指數,"123,448","96,775"
TX202001,台指 2020/01,2020/01/10,2020/01,12005,12042,11953,12010,12011,0.3509,"114,171","72,684",,,13.65,12024.65,6,0,1.045,2020/01/15,12010,12011,0.4503,Y9999   加權指數,"133,104","101,559"
TX202001,台指 2020/01,2020/01/13,2020/01,12085,12121,12044,12117,12116,0.8742,"142,642","58,810",,,-2.58,12113.42,3,0,1.045,2020/01/15,12117,12118,0.7355,Y9999   加權指數,"183,946","108,823"
TX202001,台指 2020/01,2020/01/14,2020/01,12176,12199,12148,12181,12181,0.5365,"104,397","39,121",,,-1.19,12179.81,2,0,1.045,2020/01/15,12181,12183,0.5466,Y9999   加權指數,"142,717","106,143"
TX202001,台指 2020/01,2020/01/15,2020/01,12159,12175,12058,12063,12063,-0.9687,"89,882","25,911",,,28.88,12091.88,1,0,1.045,2020/01/15,12062,12063,-0.7246,Y9999   加權指數,"155,807","107,995"
TX202002,台指 2020/02,2019/12/18,2020/02,12043,12082,12037,12078,12077,0.0331,349,932,,,45.45,12122.45,64,0,1.045,2020/02/19,12077,12081,0.2101,Y9999   加權指數,"102,944","117,044"
