Date,Open,High,Low,Close,結算價,成交量(口),波動性,隱含波動,剩餘期間(日),DELTA,GAMMA,VEGA,THETA,RHO
2019-12-02,0,0,0,0,63,0,0.115249224,0.18622033,199,-0.01490676,0.00003845,319.687525,-33.6560938,-96.38717966
2019-12-03,61,61,61,61,61,1,0.114888385,0.186951144,198,-0.01342025,0.00003524,292.022473,-30.80468838,-86.50798601
2019-12-04,65,65,65,65,65,3,0.114912233,0.189198143,197,-0.014008,0.00003672,301.702792,-31.99350623,-89.68322602
2019-12-05,62,63,62,63,63,6,0.11504959,0.193498703,196,-0.01111971,0.00002989,248.214281,-26.49197826,-71.28978531
2019-12-06,55,55,55,55,55,10,0.114913376,0.188350111,195,-0.01044843,0.00002838,234.822788,-25.16268167,-66.70979717
2019-12-09,0,0,0,0,56,0,0.114586844,0.193858163,192,-0.00850965,0.00002386,195.587965,-21.22876022,-53.68100025
2019-12-10,0,0,0,0,60,0,0.114640036,0.195670222,191,-0.00920842,0.0000257,208.455475,-22.75365872,-57.63325982
2019-12-11,46,50,46,50,50,3,0.114329702,0.192003797,190,-0.00724255,0.00002079,169.422957,-18.54277063,-45.33654052
2019-12-12,46,47.5,46,47.5,47.5,4,0.114843792,0.19833821,189,-0.00493977,0.00001462,121.766699,-13.46055675,-31.08573228
2019-12-13,0,0,0,0,43,0,0.11505316,0.199717022,188,-0.00373556,0.00001131,95.33352,-10.61536375,-23.54731982
2019-12-16,39,40,34,34,37,4,0.112405625,0.195487431,185,-0.00280246,0.000009,73.101025,-8.082275,-17.37638836
2019-12-17,34.5,34.5,34.5,34.5,34.5,2,0.112930365,0.201947767,184,-0.00170641,0.00000566,47.113747,-5.26281318,-10.65188892
2019-12-18,34,34,29,29,29,891,0.11160046,0.196862912,183,-0.00136688,0.00000468,38.459654,-4.26897161,-8.49762766
2019-12-19,29.5,29.5,25,25.5,25.5,560,0.109338058,0.186932404,182,-0.0015705,0.00000548,43.164542,-4.71954522,-9.62448187
2019-12-20,26,26,19.5,23,23,167,0.109269376,0.180550569,181,-0.00187481,0.00000649,50.324587,-5.52907034,-11.37211523
2019-12-23,25,25.5,25,25.5,25.5,34,0.108644173,0.18919633,178,-0.00131565,0.00000474,36.32707,-4.03576823,-7.88224006
2019-12-24,24,24,24,24,24,1,0.108616996,0.185016286,177,-0.00150704,0.00000541,40.851771,-4.56279712,-8.94537403
2019-12-25,0,0,0,0,27,0,0.108130426,0.191615675,176,-0.00125247,0.00000459,34.49259,-3.85728653,-7.40846239
2019-12-26,0,0,0,0,21.5,0,0.108083178,0.183569833,175,-0.00124526,0.00000458,34.193041,-3.84400009,-7.31902652
2019-12-27,0,0,0,0,18,0,0.107880697,0.183012313,174,-0.00084655,0.00000321,24.109727,-2.72120571,-4.98099802
2019-12-30,0,0,0,0,18.5,0,0.107954505,0.183467275,171,-0.00090086,0.00000343,25.227544,-2.89934734,-5.1923321
2019-12-31,0,0,0,0,23.5,0,0.107808239,0.189173627,170,-0.001068,0.00000405,29.270138,-3.37902941,-6.09215082
2020-01-02,0,0,0,0,17,0,0.107932756,0.184847601,168,-0.00068246,0.00000267,19.440358,-2.27390023,-3.8773694
2020-01-03,0,0,0,0,18,0,0.107263148,0.18780656,167,-0.00059308,0.00000237,17.040457,-1.99274878,-3.35096997
2020-01-06,0,0,0,0,19.5,0,0.10815305,0.183574187,164,-0.0010896,0.0000042,29.175309,-3.50268072,-5.97251221
2020-01-07,0,0,0,0,20.5,0,0.108303077,0.181702616,163,-0.00141797,0.00000539,36.78647,-4.4494402,-7.6807063
2020-01-08,0,0,0,0,23,0,0.108467854,0.182592446,162,-0.00177453,0.00000666,44.753199,-5.45445367,-9.50549633
2020-01-09,22,22,20,20,20.5,27,0.108415681,0.187962768,161,-0.00095127,0.00000373,25.558381,-3.13342826,-5.12451209
2020-01-10,20.5,21,20.5,21,21,30,0.108307983,0.192452212,160,-0.00073572,0.00000294,20.205831,-2.49039463,-3.95474769
2020-01-13,0,0,0,0,18,0,0.107282608,0.193842379,157,-0.00041261,0.00000174,11.811328,-1.46973824,-2.18996641
2020-01-14,15.5,16,15.5,16,16,4,0.107082474,0.194111642,156,-0.00029213,0.00000126,8.588292,-1.07360367,-1.54830723
2020-01-15,20,20,18,18,18,2,0.105742842,0.193886701,155,-0.0003529,0.00000154,10.132119,-1.25876038,-1.84481985
2020-01-16,18,18,18,18,18,4,0.105525083,0.193115956,154,-0.00036937,0.00000162,10.514841,-1.31207882,-1.91441773
2020-01-17,18,18,16.5,16.5,16.5,104,0.104776122,0.1920996,153,-0.0002933,0.00000132,8.47423,-1.05684612,-1.51254737
2020-01-20,16.5,16.5,15,15,15,33,0.102627448,0.192424428,150,-0.00017306,0.00000083,5.140417,-0.6405449,-0.87611439
2020-01-30,35.5,41,29.5,41,41,108,0.118003079,0.193678828,140,-0.00780653,0.00002569,151.680796,-23.26923625,-35.04436071
2020-01-31,35.5,38.5,35.5,38.5,38.5,351,0.116829493,0.19680104,139,-0.00556481,0.00001918,112.769391,-17.25332121,-24.93367484
2020-02-03,55,63,44,47.5,47.5,2668,0.117509347,0.198509269,136,-0.00865256,0.00002882,162.683735,-25.58378625,-37.50430297
2020-02-04,41,41,30.5,32.5,32.5,221,0.118690545,0.196523599,135,-0.00454562,0.00001592,93.306619,-14.9349148,-19.87738003
2020-02-05,33,42,32,35.5,35.5,183,0.118543663,0.202374655,134,-0.00411521,0.00001461,85.18303,-13.71997929,-17.88358034
2020-02-06,27.5,28.5,24,24,24,986,0.119058341,0.198731729,133,-0.00217961,0.00000811,48.59949,-7.9223835,-9.53288152
2020-02-07,35,37,28.5,33.5,33.5,1896,0.119594414,0.204076148,132,-0.00361514,0.00001295,75.533009,-12.46047782,-15.52471103
2020-02-10,43.5,43.5,27,36.5,36.5,1032,0.119647894,0.207559911,129,-0.0038149,0.00001379,78.09903,-13.18956638,-15.95453829
2020-02-11,24,27.5,22.5,24,24,1110,0.119786844,0.196802472,128,-0.00268288,0.00000999,57.117413,-9.73391348,-11.2115935
2020-02-12,22,23.5,17,18,18,1026,0.120012118,0.194130653,127,-0.0017364,0.00000669,38.711751,-6.66251455,-7.26183346
2020-02-13,17,18.5,16,18.5,18.5,952,0.120014418,0.197020976,126,-0.00156423,0.0000061,35.112834,-6.09141217,-6.49831829
2020-02-14,18,22,17,22,22,59,0.119889726,0.20592924,125,-0.00135794,0.00000537,30.800711,-5.38071119,-5.60609392
2020-02-17,0,0,0,0,17,0,0.119977018,0.19531401,122,-0.00149911,0.00000598,33.157505,-5.93925239,-6.01322225
2020-02-18,19.5,21,19.5,21,21,75,0.120115994,0.196156521,121,-0.00229089,0.0000089,48.080517,-8.69277569,-9.03088389
2020-02-19,26,26,16.5,18.5,18.5,282,0.120378204,0.199682672,120,-0.00145816,0.00000586,32.051433,-5.85651913,-5.7499919
2020-02-20,17.5,23.5,17.5,18.5,18.5,680,0.120105433,0.198251555,119,-0.00157194,0.00000633,34.083689,-6.26590807,-6.12928504
2020-02-21,19.5,25.5,18.5,25.5,25.5,1293,0.120170037,0.209034684,118,-0.00177563,0.00000712,37.797804,-7.01125401,-6.84343486
2020-02-24,33,35,28,33.5,33.5,1255,0.120756213,0.212687685,115,-0.00301745,0.00001176,59.528417,-11.38446431,-11.1951716
