Date,St,T-t,A_Close,A_Value,A_IV,A_Delta,A_Gamma,A_Vega,A Theta,A_Rho,B_Settlement Price,B_Value,HV,B_IV,B_Delta,B_Gamma,B_Vega,B_Theta,B_Rho
2019-12-18,12122.45,0.501369863,2.29,0.134,0.1834,0,0,7.874,-0.913,-2,29,0.37894162,0.11160046,0.19686291,-0.00136688,0.00000468,38.459654,-4.26897161,-8.49762766
2019-12-19,12018.9,0.498630137,2.36,0.185,0.1787,0,0,10.244,-1.196,-2.69,25.5,0.42619228,0.10933806,0.1869324,-0.0015705,0.00000548,43.164542,-4.71954522,-9.62448187
2019-12-20,11959.08,0.495890411,2.36,0.221,0.1755,-0.001,0,11.746,-1.38,-3.14,23,0.51174901,0.10926938,0.18055057,-0.00187481,0.00000649,50.324587,-5.52907034,-11.37211523
2019-12-23,12022.23,0.487671233,2.44,0.18,0.1834,0,0,9.414,-1.123,-2.43,25.5,0.34596886,0.10864417,0.18919633,-0.00131565,0.00000474,36.32707,-4.03576823,-7.88224006
2019-12-24,11976.38,0.484931507,2.34,0.205,0.1787,0,0,10.314,-1.238,-2.69,24,0.3977589,0.108617,0.18501629,-0.00150704,0.00000541,40.851771,-4.56279712,-8.94537403
2019-12-25,12008.13,0.482191781,2.36,0.056,0.1818,0,0,8.463,-1.005,-2.09,27,0.32426429,0.10813043,0.19161568,-0.00125247,0.00000459,34.49259,-3.85728653,-7.40846239
2019-12-26,12001.01,0.479452055,2.23,0.057,0.1802,0,0,8.648,-1.033,-2.14,21.5,0.32098415,0.10808318,0.18356983,-0.00124526,0.00000458,34.193041,-3.84400009,-7.31902652
2019-12-27,12091.59,0.476712329,2.24,0.04,0.1866,0,0,6.56,-0.786,-1.56,18,0.21256682,0.1078807,0.18301231,-0.00084655,0.00000321,24.109727,-2.72120571,-4.98099802
2019-12-30,12053.37,0.468493151,1.9,0.049,0.1787,0,0,6.828,-0.833,-1.62,18.5,0.22467398,0.1079545,0.18346727,-0.00090086,0.00000343,25.227544,-2.89934734,-5.1923321
2019-12-31,11997.14,0.465753425,1.91,0.063,0.1755,0,0,7.704,-0.946,-1.86,23.5,0.26731854,0.10780824,0.18917363,-0.001068,0.00000405,29.270138,-3.37902941,-6.09215082
2020-01-02,12100.48,0.460273973,1.76,0.042,0.1802,0,0,5.505,-0.683,-1.27,17,0.16594491,0.10793276,0.1848476,-0.00068246,0.00000267,19.440358,-2.27390023,-3.8773694
2020-01-03,12110.43,0.457534247,1.81,0.041,0.1818,0,0,5.207,-0.649,-1.19,18,0.14157985,0.10726315,0.18780656,-0.00059308,0.00000237,17.040457,-1.99274878,-3.35096997
2020-01-06,11953.36,0.449315068,2.02,0.074,0.1787,0,0,8.549,-1.104,-2.06,19.5,0.26807008,0.10815305,0.18357419,-0.0010896,0.0000042,29.175309,-3.50268072,-5.97251221
2020-01-07,11880.32,0.446575342,2.02,0.099,0.1755,0,0,10.059,-1.308,-2.47,20.5,0.35320876,0.10830308,0.18170262,-0.00141797,0.00000539,36.78647,-4.4494402,-7.6807063
2020-01-08,11817.1,0.443835616,2.32,0.125,0.1755,-0.001,0,11.786,-1.544,-2.96,23,0.44688388,0.10846785,0.18259245,-0.00177453,0.00000666,44.753199,-5.45445367,-9.50549633
2020-01-09,11970.63,0.44109589,1.89,0.071,0.1787,0,0,7.48,-0.983,-1.76,20.5,0.23040508,0.10841568,0.18796277,-0.00095127,0.00000373,25.558381,-3.13342826,-5.12451209
2020-01-10,12024.65,0.438356164,1.75,0.058,0.1802,0,0,6.255,-0.826,-1.43,21,0.17495499,0.10830798,0.19245221,-0.00073572,0.00000294,20.205831,-2.49039463,-3.95474769
2020-01-13,12113.42,0.430136986,1.47,0.042,0.1802,0,0,4.408,-0.592,-0.96,18,0.09316769,0.10728261,0.19384238,-0.00041261,0.00000174,11.811328,-1.46973824,-2.18996641
2020-01-14,12179.81,0.42739726,1.31,0.033,0.1802,0,0,3.537,-0.478,-0.75,16,0.06451919,0.10708247,0.19411164,-0.00029213,0.00000126,8.588292,-1.07360367,-1.54830723
2020-01-15,12091.88,0.424657534,1.48,0.046,0.1802,0,0,4.493,-0.612,-0.98,18,0.07707453,0.10574284,0.1938867,-0.0003529,0.00000154,10.132119,-1.25876038,-1.84481985
2020-01-16,12066.93,0.421917808,1.5,0.051,0.1802,0,0,4.719,-0.647,-1.03,18,0.08031115,0.10552508,0.19311596,-0.00036937,0.00000162,10.514841,-1.31207882,-1.91441773
2020-01-17,12090.29,0.419178082,1.5,0.046,0.1818,0,0,3.889,-0.528,-0.83,16.5,0.06229018,0.10477612,0.1920996,-0.0002933,0.00000132,8.47423,-1.05684612,-1.51254737
2020-01-20,12118.71,0.410958904,1.27,0.041,0.1802,0,0,3.261,-0.452,-0.68,15,0.03456696,0.10262745,0.19242443,-0.00017306,0.00000083,5.140417,-0.6405449,-0.87611439
2020-01-30,11421.74,0.383561644,3.72,0.471,0.1818,-0.002,0,31.964,-5.416,-9.05,41,2.20146636,0.11800308,0.19367883,-0.00780653,0.00002569,151.680796,-23.26923625,-35.04436071
2020-01-31,11495.1,0.380821918,3.31,0.367,0.1818,-0.002,0,27.102,-4.617,-7.38,38.5,1.50524987,0.11682949,0.19680104,-0.00556481,0.00001918,112.769391,-17.25332121,-24.93367484
2020-02-03,11354.92,0.37260274,4.11,0.594,0.1834,-0.002,0,34.866,-6.087,-9.99,47.5,2.40576811,0.11750935,0.19850927,-0.00865256,0.00002882,162.683735,-25.58378625,-37.50430297
2020-02-04,11555.92,0.369863014,2.88,0.298,0.1834,-0.001,0,23.43,-4.155,-6.11,32.5,1.21376519,0.11869054,0.1965236,-0.00454562,0.00001592,93.306619,-14.9349148,-19.87738003
2020-02-05,11573.62,0.367123288,2.74,0.288,0.1834,-0.001,0,21.148,-3.729,-5.4,35.5,1.08482798,0.11854366,0.20237466,-0.00411521,0.00001461,85.18303,-13.71997929,-17.88358034
2020-02-06,11749.68,0.364383562,1.97,0.153,0.1818,-0.001,0,14.283,-2.561,-3.39,24,0.55194411,0.11905834,0.19873173,-0.00217961,0.00000811,48.59949,-7.9223835,-9.53288152
2020-02-07,11612.81,0.361643836,2.76,0.257,0.1882,-0.001,0,18.224,-3.258,-4.51,33.5,0.946198,0.11959441,0.20407615,-0.00361514,0.00001295,75.533009,-12.46047782,-15.52471103
2020-02-10,11574.07,0.353424658,2.88,0.296,0.1882,-0.001,0,19.113,-3.498,-4.73,36.5,0.98881063,0.11964789,0.20755991,-0.0038149,0.00001379,78.09903,-13.18956638,-15.95453829
2020-02-11,11664.04,0.350684932,2.13,0.218,0.1834,-0.001,0,14.86,-2.736,-3.51,24,0.67733963,0.11978684,0.19680247,-0.00268288,0.00000999,57.117413,-9.73391348,-11.2115935
2020-02-12,11774.19,0.347945205,1.67,0.149,0.1818,-0.001,0,10.148,-1.855,-2.25,18,0.42587025,0.12001212,0.19413065,-0.0017364,0.00000669,38.711751,-6.66251455,-7.26183346
2020-02-13,11791.78,0.345205479,1.68,0.141,0.1834,-0.001,0,9.427,-1.736,-2.07,18.5,0.37949429,0.12001442,0.19702098,-0.00156423,0.0000061,35.112834,-6.09141217,-6.49831829
2020-02-14,11815.7,0.342465753,1.52,0.129,0.1834,0,0,7.939,-1.454,-1.7,22,0.32479968,0.11988973,0.20592924,-0.00135794,0.00000537,30.800711,-5.38071119,-5.60609392
2020-02-17,11763.51,0.334246575,1.72,0.154,0.1866,0,0,8.608,-1.616,-1.85,17,0.3555932,0.11997702,0.19531401,-0.00149911,0.00000598,33.157505,-5.93925239,-6.01322225
2020-02-18,11648.98,0.331506849,2.03,0.228,0.185,-0.001,0,11.529,-2.186,-2.58,21,0.55534146,0.12011599,0.19615652,-0.00229089,0.0000089,48.080517,-8.69277569,-9.03088389
2020-02-19,11758.84,0.328767123,2.03,0.154,0.1945,0,0,8.129,-1.551,-1.72,18.5,0.34326206,0.1203782,0.19968267,-0.00145816,0.00000586,32.051433,-5.85651913,-5.7499919
2020-02-20,11725.09,0.326027397,1.78,0.173,0.1866,0,0,8.68,-1.671,-1.85,18.5,0.36874676,0.12010543,0.19825156,-0.00157194,0.00000633,34.083689,-6.26590807,-6.12928504
2020-02-21,11686.35,0.323287671,2.01,0.197,0.1897,-0.001,0,9.478,-1.841,-2.04,25.5,0.41765297,0.12017004,0.20903468,-0.00177563,0.00000712,37.797804,-7.01125401,-6.84343486
2020-02-24,11534.87,0.315068493,2.75,0.333,0.1945,-0.001,0,14.541,-2.942,-3.31,33.5,0.7265919,0.12075621,0.21268768,-0.00301745,0.00001176,59.528417,-11.38446431,-11.1951716
2020-02-25,11540.23,0.312328767,2.42,0.324,0.1897,-0.001,0,13.865,-2.83,-3.12,30,0.66261726,0.12043767,0.20897792,-0.0027893,0.00001103,55.23907,-10.62901048,-10.26055115
2020-02-26,11433.62,0.309589041,4,0.459,0.2071,-0.001,0,18.029,-3.718,-4.24,45,1.02046847,0.12082779,0.22131781,-0.00418571,0.00001605,78.465778,-15.27978728,-15.13218107
2020-02-27,11292.17,0.306849315,3.5,0.722,0.1882,-0.002,0,25.27,-5.273,-6.34,55,1.82086426,0.12150992,0.22152112,-0.0071674,0.00002617,124.417835,-24.57879442,-25.39373659
2020-03-02,11170.46,0.295890411,5,0.451,0.1992,-0.002,0,31.619,-6.851,-8.07,59,2.61864473,0.12199506,0.21877826,-0.01018557,0.00003652,164.502599,-33.83349264,-34.44049106
2020-03-03,11327.72,0.293150685,4.55,0.641,0.2103,-0.002,0,22.087,-4.88,-5.29,54,1.39580853,0.12252125,0.22868238,-0.00568916,0.00002158,99.442117,-20.73714629,-19.30134317
2020-03-04,11392.35,0.290410959,4.5,0.175,0.2166,-0.001,0,18.12,-4.031,-4.07,56,1.03337712,0.12263245,0.23763831,-0.00431673,0.00001684,77.839738,-16.40184689,-14.58185542
2020-03-05,11514.82,0.287671233,3.7,0.104,0.2182,-0.001,0,12.422,-2.783,-2.6,39.5,0.58071779,0.12253635,0.22930145,-0.00253129,0.00001037,48.458599,-10.30152028,-8.5518974
2020-03-06,11321.81,0.284931507,4.55,0.65,0.2135,-0.002,0,21.76,-5.007,-5.14,70,1.37042233,0.123669,0.24807382,-0.00562306,0.00002147,96.976416,-21.00239875,-18.53012409
2020-03-09,10977.64,0.276712329,9,1.835,0.2308,-0.004,0,47.7,-11.677,-13.6,135,5.7879035,0.12743171,0.2706237,-0.02082606,0.00006806,289.230448,-66.43491952,-64.86382461
2020-03-10,11003.54,0.273972603,10,1.705,0.2451,-0.004,0,44.854,-11.081,-12.5,121,5.06570818,0.12729211,0.26441957,-0.01856691,0.00006197,261.682874,-60.64618106,-57.360958
2020-03-11,10893.75,0.271232877,13,2.3,0.2625,-0.005,0,53.896,-13.488,-15.94,142,7.44054342,0.12770151,0.26871102,-0.02636012,0.00008429,346.468073,-81.35484485,-79.90550737
2020-03-12,10422.32,0.268493151,23,7.3,0.2783,-0.016,0,103.978,-28.1,-44.75,250,40.91904063,0.13487765,0.27599495,-0.11233242,0.00026185,1030.059162,-257.770877,-325.3287003
2020-03-13,10128.87,0.265753425,28,13.214,0.2641,-0.025,0,120.42,-34.292,-68.59,437,90.45985893,0.13773335,0.330798,-0.21347967,0.00040416,1517.717129,-391.3790587,-598.6807255
2020-03-16,9717.77,0.257534247,45,26.237,0.3083,-0.038,0,109.181,-35.065,-100.52,695,224.498232,0.14349386,0.386619,-0.41753743,0.00055057,1921.368468,-531.1056135,-1102.769607
2020-03-17,9439.63,0.254794521,60.5,38.177,0.3637,-0.047,0,83.668,-29.204,-119.29,970,366.0133922,0.14617421,0.46567208,-0.57383004,0.00056112,1862.194909,-527.9030995,-1473.414716
2020-03-18,9218.67,0.252054795,80,49.14,0.4743,-0.052,0,60.343,-23.328,-129.41,1170,507.797683,0.14792467,0.51678072,-0.69221523,0.00051111,1619.527936,-467.0521929,-1736.431053
2020-03-19,8681.34,0.249315068,105,79.555,0.5249,-0.058,0,20.625,-12.698,-141.45,1690,950.4207503,0.15868552,0.6509824,-0.88814604,0.00027204,811.123579,-244.7328181,-2159.247634
2020-03-20,9234.09,0.246575342,75,49.954,0.4348,-0.049,0,70.258,-28.496,-121.82,1100,536.9661259,0.1711578,0.48638469,-0.66137595,0.00046413,1670.233886,-587.9389312,-1638.288779
2020-03-23,8890.03,0.238356164,75,68.129,0.2878,-0.055,0,39.536,-19.081,-129.41,1350,791.0710696,0.17481204,0.53118851,-0.80409415,0.00036137,1190.02168,-444.7502773,-1892.426901
2020-03-24,9285.62,0.235616438,74.5,47.409,0.4585,-0.048,0,74.756,-32.738,-113.19,990,512.4933364,0.18046907,0.45090886,-0.63225896,0.00046153,1692.119423,-655.9956686,-1504.036283
2020-03-25,9644.75,0.232876712,46.4,33.617,0.3131,-0.039,0,102.185,-44.191,-92.72,765,321.512965,0.18461693,0.42532938,-0.46251489,0.00046127,1844.75692,-737.8197114,-1113.698751
2020-03-26,9736.36,0.230136986,47,30.174,0.3479,-0.036,0,106.275,-46.153,-86.19,725,279.116388,0.18465455,0.42807288,-0.42048215,0.00045251,1822.936061,-737.5064149,-1006.407904
